단어,빈도
였지,119
고장,119
잡는,119
제트,119
전이,119
무난,119
계곡,119
초코,119
과장,119
긴장,119
페이,119
필리핀,119
검진,119
세트,118
거구,118
걸까,118
두부,118
버리면,118
들어오고,118
살았는데,118
배낭여행,118
상의,118
한다면은,118
봐라,118
초밥,118
현상,118
엘리,118
부위,117
발라드,117
뿌리,117
육아,117
이외,117
성장,117
고통,117
손자,117
모이,117
칼국수,117
중국어,117
나지,117
불러,117
했나,117
멤버,117
바뀐,117
받아야,117
빠지는,116
라라,116
이었나,116
조명,116
부장,116
조심해야,116
하늘,116
해산물,116
지속,116
파마,116
샐러드,116
싸움,115
오는데,115
맥주,115
설치,115
전날,115
떠오르는,115
담아,115
인물,115
키우면,115
쌍꺼풀,115
한꺼,115
다니다,115
세금,115
양파,115
기기,115
벽지,115
공격,115
버리니까,115
움직이는,114
일부,114
파리,114
봐야겠다,114
주방,114
올라가고,114
생명,114
난리,114
소식,114
예상,114
후반,114
느껴지는,114
오사카,113
잠시,113
어린이집,113
회의,113
했다시피,113
고객,113
동시,113
이었거든요,113
된장,113
빌라,113
풀어,113
인천,113
홍콩,113
자료,113
급식,113
현지,112
의류,112
된다라는,112
하자면,112
가지고는,112
대기,112
맥도날드,112
교실,112
가자고,112
해서도,112
전반,112
의향,112
파악,112
사례,112
분석,112
최소,112
배치,112
비율,112
취득,112
비도,112
거북이,112
된다라고,111
이벤트,111
된다면은,111
여수,111
집안일,111
말씀드린,111
버릴,111
올라가,111
몰입,111
한정,111
환불,111
외출,111
중요시,110
활성화,110
즐거움,110
강남,110
지고,110
기관,110
실질,110
트렌드,110
오면서,110
다니는데,110
물어,110
이루고,110
코트,110
결말,110
체중,110
제공,110
들어갔는데,109
드신,109
산업,109
규칙,109
실천,109
청바지,109
하기에,109
엑스,109
소문,108
지낼,108
유학,108
초콜릿,108
마침,108
이러,108
베이스,108
다닌,108
채소,108
복숭아,108
대기업,108
먹는다고,108
밀가루,108
보수,108
트러블,107
시어머니,107
쇼츠,107
생산,107
머릿속,107
됐으면,107
배우자,107
펜션,107
판타지,107
덕분,107
차원,107
떠나서,107
시집,107
다니다가,107
이득,107
스타벅스,107
영역,107
입으면,107
기다리고,107
사도,107
차려,107
화분,107
탕후루,107
되었습니다,107
풋살,107
학번,107
진료,107
배워서,106
겪어,106
안전,106
하셨잖아요,106
시내,106
간장,106
먹었을,106
쓰는데,106
나오면은,106
발라,106
정서,106
연봉,106
않았어요,106
벌어,106
구분,106
돌리고,106
싶거든,106
되거나,106
온천,106
측면,105
클래식,105
저쪽,105
실패,105
확률,105
평균,105
먹다가,105
나눠서,105
않거든요,105
라테,105
거주,105
되도록,104
아동,104
오게,104
퇴사,104
겠더라고,104
인연,104
열정,104
정해진,104
한마디,104
검은색,104
평상시,104
개발자,104
마냥,104
입사,104
지난번,104
지브리,104
학부모,103
북한,103
들어와,103
돼지고기,103
발표,103
죽는,103
보낼,103
읽고,103
군인,103
대고,103
신는,103
조심,103
단기,103
찍는,103
난다,103
최소한,103
커버,103
수명,103
자제,103
움직,103
혈압,103
벌어서,103
보겠습니다,103
탁구,103
대중,103
향수,103
티켓,102
만들기,102
문제점,102
스페인,102
스킨,102
틀어,102
의도,102
서서,102
지나면,102
사무실,102
넣으면,102
제습기,102
콘텐츠,101
마케팅,101
전시,101
찾을,101
한텐,101
국수,101
짜장면,101
성공,101
보일,101
남매,101
일어나는,101
들었거든,101
보더,101
최종,101
노동,101
가루,100
보자면,100
사정,100
범위,100
갖게,100
하려면은,100
이러는데,100
토끼,100
달리,100
떨어져서,100
